"age","workclass","fnlwgt","education","educational-num","marital-status","occupation","relationship","race","gender","capital-gain","capital-loss","hours-per-week","native-country","income"
63,"Self-emp-not-inc",104626,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",3103,0,32,"United-States",">50K"
20,"State-gov",444554,"Some-college",10,"Never-married","Other-service","Own-child","White","Male",0,0,25,"United-States","<=50K"
45,"Self-emp-not-inc",432824,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",7298,0,90,"United-States",">50K"
32,"Self-emp-not-inc",109282,"Some-college",10,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,60,"United-States","<=50K"
46,"State-gov",106444,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","Black","Male",7688,0,38,"United-States",">50K"
56,"Self-emp-not-inc",186651,"11th",7,"Widowed","Other-service","Unmarried","White","Female",0,0,50,"United-States","<=50K"
24,"Self-emp-not-inc",188274,"Bachelors",13,"Never-married","Sales","Not-in-family","White","Male",0,0,50,"United-States","<=50K"
44,"Self-emp-inc",120277,"Assoc-voc",11,"Married-civ-spouse","Sales","Husband","White","Male",0,0,45,"United-States",">50K"
20,"State-gov",138371,"Some-college",10,"Never-married","Farming-fishing","Own-child","White","Male",0,0,32,"United-States","<=50K"
56,"Self-emp-inc",131916,"HS-grad",9,"Widowed","Exec-managerial","Not-in-family","White","Female",0,0,50,"United-States","<=50K"
42,"Self-emp-inc",170721,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",5178,0,50,"United-States",">50K"
41,"Self-emp-inc",445382,"Assoc-acdm",12,"Married-civ-spouse","Craft-repair","Husband","White","Male",15024,0,60,"United-States",">50K"
69,"Self-emp-inc",174379,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,30,"United-States","<=50K"
45,"Self-emp-inc",67001,"Some-college",10,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,50,"United-States","<=50K"
44,"Self-emp-inc",223881,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",99999,0,50,"?",">50K"
31,"Self-emp-not-inc",113752,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"United-States","<=50K"
58,"Self-emp-not-inc",301568,"9th",5,"Widowed","Other-service","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
27,"Self-emp-not-inc",115438,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"Ireland",">50K"
42,"Self-emp-inc",100793,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,41,"United-States",">50K"
43,"Self-emp-inc",214503,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1887,45,"United-States",">50K"
47,"Self-emp-not-inc",174995,"HS-grad",9,"Widowed","Exec-managerial","Not-in-family","White","Female",0,0,30,"United-States","<=50K"
40,"State-gov",67874,"Bachelors",13,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,1887,45,"United-States",">50K"
38,"Self-emp-inc",93225,"Bachelors",13,"Divorced","Exec-managerial","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
46,"State-gov",56841,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,45,"United-States",">50K"
58,"Self-emp-not-inc",159021,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,16,"United-States",">50K"
33,"Self-emp-inc",154227,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States",">50K"
56,"Self-emp-inc",321529,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",15024,0,40,"United-States",">50K"
34,"State-gov",513100,"Bachelors",13,"Married-spouse-absent","Farming-fishing","Not-in-family","Black","Male",0,0,40,"?","<=50K"
42,"Self-emp-inc",240628,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,50,"United-States",">50K"
28,"Self-emp-inc",142443,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States","<=50K"
34,"Self-emp-inc",34848,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,54,"United-States","<=50K"
52,"Self-emp-inc",311259,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",">50K"
80,"Self-emp-not-inc",201092,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,30,"United-States","<=50K"
55,"Self-emp-not-inc",105239,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2057,60,"United-States","<=50K"
62,"Self-emp-not-inc",177493,"Some-college",10,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,32,"United-States","<=50K"
